simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
特别,特別,tè bié,không bình thường; đặc biệt/rất; đặc biệt; đặc biệt/rõ ràng; cho một mục đích cụ thể/(thường theo sau là 是[shi4]) nói riêng,Adj/Adv,2,他特别喜欢跑步。,Tā tèbié xǐhuān pǎobù.,Anh ấy đặc biệt thích chạy bộ.
特点,特點,tè diǎn,đặc tính (đặc điểm)/đặc điểm/tính năng/CL:個|个[ge4],N,2,这个产品的特点是什么？,Zhège chǎnpǐn de tèdiǎn shì shénme?,Đặc điểm của sản phẩm này là gì?
疼,疼,téng,(nó) đau; đau/yêu tha thiết,V,2,我的头很疼。,Wǒ de tóu hěn téng.,Đầu tôi rất đau.
题,題,tí,"chủ đề/vấn đề thảo luận/câu hỏi thi/môn học/để ghi/để đề cập/CL:個|个[ge4],道[dao4]",N,2,这道题很难。,Zhè dào tí hěn nán.,Câu hỏi này rất khó.
提出,提出,tí chū,nêu ra (một vấn đề)/đề xuất/đưa ra/gợi ý/đăng (trên trang web)/rút (tiền mặt),,2,,,
提到,提到,tí dào,đề cập/nêu lên (một chủ đề)/tham khảo,,2,,,
提,提,tí,mang (treo xuống từ tay)/nâng/đưa ra/đề cập/nêu lên (một vấn đề)/nét vẽ hướng lên trên/nét vẽ nâng lên (trong hội họa)/muỗng để đong chất lỏng,V,2,请提一些建议。,Qǐng tí yīxiē jiànyì.,Xin hãy đưa ra một vài gợi ý.
提高,提高,tí gāo,nâng cao/tăng lên/cải thiện,,2,我们要提高汉语水平。,Wǒmen yào tígāo hànyǔ shuǐpíng.,Chúng ta cần nâng cao trình độ tiếng Trung.
体育,體育,tǐ yù,thể thao/giáo dục thể chất,N,2,我喜欢体育运动。,Wǒ xǐhuān tǐyù yùndòng.,Tôi thích các hoạt động thể thao.
体育场,體育場,tǐ yù chǎng,"sân vận động/CL:個|个[ge4],座[zuo4]",N,2,,,
体育馆,體育館,tǐ yù guǎn,phòng gym/nhà thi đấu/sân vận động/CL:個|个[ge4],N,2,,,
天上,天上,tiān shàng,thiên thể/thiên đường,N,2,,,
条,條,tiáo,"dải/mục/bài viết/điều khoản (của luật hoặc hiệp ước)/phân loại cho những thứ dài và mỏng (ruy băng, sông, đường, quần, v.v.)",M,2,他买了一条裤子。,Tā mǎi le yī tiáo kùzi.,Anh ấy đã mua một chiếc quần.
条件,條件,tiáo jiàn,điều kiện; hoàn cảnh; thuật ngữ; yếu tố/yêu cầu; điều kiện tiên quyết; trình độ/tình huống; trạng thái; điều kiện/CL:個|个[ge4],N,2,这个工作条件很好。,Zhège gōngzuò tiáojiàn hěn hǎo.,Điều kiện công việc này rất tốt.
停,停,tíng,dừng lại/dừng lại/đỗ (một chiếc xe),V,2,请停车。,Qǐng tíng chē.,Xin dừng xe.
停车,停車,tíng chē,dừng (dừng xe)/đỗ xe/(máy móc) ngừng hoạt động/chết máy,,2,,,
停车场,停車場,tíng chē chǎng,bãi đậu xe/bãi đỗ xe,N,2,,,
听说,聽說,tīng shuō,nghe (điều gì đó nói)/người ta nghe (điều đó)/tin đồn/lắng nghe và nói,V,2,,,
挺,挺,tǐng,thẳng/dựng đứng/nhô ra (một phần cơ thể)/thẳng lên (về mặt vật lý)/để hỗ trợ/để chịu đựng/nổi bật/(coll.) khá/rất/phân loại cho súng máy,Adv,2,他挺高的。,Tā tǐng gāo de.,Anh ấy khá cao.
挺好,挺好,tǐng hǎo,rất tốt,,2,,,
听讲,聽講,tīng jiǎng,tham dự một bài giảng/nghe một bài nói chuyện,,2,,,
通过,通過,tōng guò,thông qua; thông qua/thông qua (một nghị quyết); thông qua (luật)/thông qua (một bài kiểm tra)/bằng cách; thông qua; thông qua,Prep/V,2,我通过了考试。,Wǒ tōngguò le kǎoshì.,Tôi đã qua kỳ thi.
同时,同時,tóng shí,cùng lúc/đồng thời,Conj/N,2,他同时做两份工作。,Tā tóngshí zuò liǎng fèn gōngzuò.,Anh ấy làm hai công việc cùng một lúc.
同事,同事,tóng shì,"đồng nghiệp; đồng nghiệp/CL:個|个[ge4],位[wei4]",N,2,他是我的同事。,Tā shì wǒ de tóngshì.,Anh ấy là đồng nghiệp của tôi.
通,通,tōng,"phân loại cho một hoạt động, được xem xét toàn diện (lời lăng mạ, thời gian chơi nhạc, cơn say rượu, v.v.)",V/Adj,2,,,
同样,同樣,tóng yàng,giống nhau; ngang bằng; tương tự/tương tự; cũng; quá,Adj/Conj,2,,,
通知,通知,tōng zhī,thông báo/thông báo/lưu ý/thông báo/CL:個|个[ge4],V/N,2,请通知大家明天的会议。,Qǐng tōngzhī dàjiā míngtiān de huìyì.,Xin thông báo với mọi người về cuộc họp ngày mai.
头发,頭髮,tóu fà,tóc (trên đầu),N,2,她的头发很长。,Tā de tóufa hěn cháng.,Tóc của cô ấy rất dài.
头,頭,tóu,hậu tố cho danh từ,N/M,2,,,
头,頭,tóu,hậu tố cho danh từ,N/M,2,,,
图片,圖片,tú piàn,hình ảnh; ảnh/CL:張|张[zhang1],N,2,,,
腿,"骽,腿",tuǐ,xương hông/biến thể cũ của 腿[tui3],N,2,他的腿很长。,Tā de tuǐ hěn cháng.,Chân của anh ấy rất dài.
推,推,tuī,đẩy/cắt/từ chối/bác bỏ/từ chối/trốn tránh (trách nhiệm)/hoãn lại/trì hoãn/đẩy mạnh/đề cử/bầu cử/xoa bóp,V,2,请帮我推一下门。,Qǐng bāng wǒ tuī yīxià mén.,Xin hãy giúp tôi đẩy cửa.
外地,外地,wài dì,các vùng của đất nước khác với nơi người ta đang ở,N,2,,,
外卖,外賣,wài mài,(của một nhà hàng) cung cấp bữa ăn mang đi hoặc giao tận nhà/mang đi (doanh nghiệp)/mang đi (bữa ăn),N/V,2,,,
碗,"碗,㼝,椀,盌",wǎn,"bát/cốc/CL:隻|只[zhi1],個|个[ge4]",N,2,他吃了三碗饭。,Tā chī le sān wǎn fàn.,Anh ấy đã ăn ba bát cơm.
晚安,晚安,wǎn ān,Chúc ngủ ngon!/Chào buổi tối!,V,2,,,
晚报,晚報,wǎn bào,báo buổi tối/(trong tên của một tờ báo) Tin tức buổi tối,N,2,,,
晚餐,晚餐,wǎn cān,"bữa tối/bữa tối/CL:份[fen4],頓|顿[dun4],次[ci4]",N,2,,,
晚会,晚會,wǎn huì,bữa tiệc tối/CL:個|个[ge4],N,2,,,
完,完,wán,hoàn thành/kết thúc/toàn bộ/hoàn chỉnh/toàn bộ,V,2,我已经做完了作业。,Wǒ yǐjīng zuò wán le zuòyè.,Tôi đã làm xong bài tập.
完成,完成,wán chéng,để hoàn thành; để thực hiện,,2,我完成了作业。,Wǒ wánchéng le zuòyè.,Tôi đã hoàn thành bài tập.
完全,完全,wán quán,hoàn thành; toàn bộ/hoàn toàn; toàn bộ,Adj/Adv,2,我完全同意你的看法。,Wǒ wánquán tóngyì nǐ de kànfǎ.,Tôi hoàn toàn đồng ý với quan điểm của bạn.
万,"万,萬",wàn,mười ngàn/một con số lớn,Num,2,一万个人参加了比赛。,Yī wàn gè rén cānjiā le bǐsài.,Mười nghìn người đã tham gia cuộc thi.
网,網,wǎng,mạng lưới,N,2,,,
网球,網球,wǎng qiú,quần vợt/bóng tennis/CL:個|个[ge4],N,2,我喜欢打网球。,Wǒ xǐhuān dǎ wǎngqiú.,Tôi thích chơi tennis.
往,"徃,往",wǎng,biến thể cũ của 往[wang3],V/Prep,2,,,
网站,網站,wǎng zhàn,trang web,N,2,这个网站很好用。,Zhège wǎngzhàn hěn hǎo yòng.,Trang web này rất hữu ích.
喂,"喂,餵,餧",wèi,để nuôi,Intj,2,喂，你好吗？,"Wèi, nǐ hǎo ma?","Alo, bạn khỏe không?"
位,位,wèi,vị trí/địa điểm/nơi/ghế/phân loại cho con người (danh dự)/phân loại cho các bit nhị phân (ví dụ: 十六位 16-bit hoặc 2 byte)/(vật lý) tiềm năng,M,2,请坐在这位先生旁边。,Qǐng zuò zài zhè wèi xiānshēng pángbiān.,Xin ngồi bên cạnh ông này.
味道,味道,wèi dào,hương vị; vị giác/(hình) cảm giác (của ...); cảm giác (của ...); gợi ý (của ...)/(hình) sự quan tâm; sự thích thú/(phương ngữ) mùi; mùi,N,2,这个菜的味道很好。,Zhège cài de wèidào hěn hǎo.,Món này có hương vị rất ngon.
为什么,為什麼,wèi shén me,tại sao?/vì lý do gì?,,2,你为什么不来？,Nǐ wèishéme bù lái?,Tại sao bạn không đến?
为,"為,爲",wèi,biến thể của 為|为[wei4],Prep,2,我为你感到骄傲。,Wǒ wèi nǐ gǎndào jiāo'ào.,Tôi tự hào về bạn.
闻,聞,wén,nghe/tin tức/nổi tiếng/nổi tiếng/danh tiếng/ngửi/hít vào,V,2,她闻到了花香。,Tā wén dào le huā xiāng.,Cô ấy ngửi thấy mùi hoa.
温度,溫度,wēn dù,nhiệt độ/CL:個|个[ge4],N,2,今天的温度很高。,Jīntiān de wēndù hěn gāo.,Nhiệt độ hôm nay rất cao.
问路,問路,wèn lù,hỏi đường/hỏi đường (đến một nơi nào đó),V,2,,,
问题,問題,wèn tí,câu hỏi/vấn đề/vấn đề/chủ đề/CL:個|个[ge4],N,2,这个问题很重要。,Zhège wèntí hěn zhòngyào.,Vấn đề này rất quan trọng.
午餐,午餐,wǔ cān,"bữa trưa/bữa trưa/CL:份[fen4],頓|顿[dun4],次[ci4]",N,2,,,
午睡,午睡,wǔ shuì,ngủ trưa/ngủ trưa,N/V,2,,,
西北,西北,xī běi,tây bắc,N,2,,,
西餐,西餐,xī cān,"Món ăn kiểu Tây/CL:份[fen4],頓|顿[dun4]",N,2,,,
西方,西方,xī fāng,phương Tây/phương Tây/các nước phương Tây,N,2,,,
习惯,習慣,xí guàn,thói quen/phong tục/thực hành thường lệ/được sử dụng để/CL:個|个[ge4],N/V,2,他习惯早起。,Tā xíguàn zǎoqǐ.,Anh ấy quen dậy sớm.
西南,西南,xī nán,tây nam,N,2,,,
洗衣机,洗衣機,xǐ yī jī,máy giặt; máy giặt/CL:臺|台[tai2],N,2,,,
西医,西醫,xī yī,Y học phương Tây/bác sĩ được đào tạo về y học phương Tây,N,2,,,
洗澡,洗澡,xǐ zǎo,tắm/tắm vòi sen,,2,我每天早上都洗澡。,Wǒ měitiān zǎoshang dōu xǐzǎo.,Tôi đều tắm vào mỗi buổi sáng.
下,下,xià,"xuống/xuống dưới/thấp hơn/sau đó/tiếp theo (tuần, v.v.)/giây (trong hai phần)/giảm/đi xuống/đi đến (một quyết định, kết luận, v.v.)/từ đo lường để chỉ tần suất của một hành động",N/V,2,我在下楼。,Wǒ zài xià lóu.,Tôi đang xuống lầu.
夏天,夏天,xià tiān,mùa hè/CL:個|个[ge4],N,2,,,
下雪,下雪,xià xuě,tuyết rơi,,2,,,
下周,下週,xià zhōu,tuần tới,,2,,,
向,"向,嚮,曏",xiàng,biến thể của 向[xiang4]/hướng/phương hướng/đối mặt/quay về phía/đến/hướng tới/ngay trước đó/trước đây,Prep/V,2,向左走。,Xiàng zuǒ zǒu.,Đi về phía bên trái.
像,像,xiàng,giống/giống như/trông như/chẳng hạn như/ngoại hình/hình ảnh/chân dung/hình ảnh dưới một phép ánh xạ (toán học),V,2,他像他爸爸一样高。,Tā xiàng tā bàba yīyàng gāo.,Anh ấy cao giống như bố của mình.
响,響,xiǎng,tiếng vang/âm thanh/tiếng ồn/tạo ra âm thanh/phát ra âm thanh/làm reo/to/phân loại tiếng ồn,Adj,2,门铃响了。,Ménlíng xiǎng le.,Chuông cửa reo.
想到,想到,xiǎng dào,nghĩ đến/gợi nhớ/dự đoán,,2,,,
想法,想法,xiǎng fǎ,cách suy nghĩ; ý kiến; khái niệm/nghĩ ra cách (làm điều gì đó)/CL:個|个[ge4],N,2,,,
相机,相機,xiàng jī,máy ảnh (viết tắt của 照相機|照相机[zhao4 xiang4 ji1])/vào thời điểm thích hợp/khi hoàn cảnh cho phép,N,2,,,
想起,想起,xiǎng qǐ,nhớ lại/nghĩ đến/gọi lại trong tâm trí,,2,,,
相同,相同,xiāng tóng,giống hệt/giống nhau,Adj,2,我们的看法相同。,Wǒmen de kànfǎ xiāngtóng.,Quan điểm của chúng tôi giống nhau.
相信,相信,xiāng xìn,tin chắc (rằng điều gì đó là đúng); tin tưởng; chấp nhận điều gì đó là đúng,V,2,我相信他的话。,Wǒ xiāngxìn tā de huà.,Tôi tin lời anh ấy.
小,小,xiǎo,nhỏ/nhỏ xíu/ít/trẻ,Adj,2,这是一只小狗。,Zhè shì yī zhī xiǎo gǒu.,Đây là một chú chó con.
笑话,笑話,xiào huà,trò đùa; trò đùa (CL:個|个[ge4])/cười; chế giễu/lố bịch; vô lý,V,2,你的笑话很好笑。,Nǐ de xiàohuà hěn hǎo xiào.,Truyện cười của bạn rất buồn cười.
笑话儿,笑話兒,xiào huà ér,biến thể đàn nhị của 笑話|笑话[xiao4 hua5],N,2,,,
小声,小聲,xiǎo shēng,bằng giọng nói nhỏ/(nói) thì thầm,,2,,,
小时候,小時候,xiǎo shí hòu,trong thời thơ ấu của một người,N,2,,,
小说,小說,xiǎo shuō,"tiểu thuyết/tiểu thuyết/CL:本[ben3],部[bu4]",N,2,这本小说很有意思。,Zhè běn xiǎoshuō hěn yǒu yìsi.,Cuốn tiểu thuyết này rất thú vị.
小心,小心,xiǎo xīn,cẩn thận/chăm sóc,Adj/V,2,请小心地走路。,Qǐng xiǎoxīn de zǒulù.,Vui lòng đi bộ cẩn thận.
校园,校園,xiào yuán,khuôn viên đại học,N,2,,,
校长,校長,xiào zhǎng,"(cao đẳng, đại học) hiệu trưởng/CL:個|个[ge4],位[wei4],名[ming2]",N,2,校长在办公室工作。,Xiàozhǎng zài bàngōngshì gōngzuò.,Hiệu trưởng làm việc trong văn phòng.
小组,小組,xiǎo zǔ,nhóm,N,2,,,
鞋,"鞋,鞵",xié,biến thể của 鞋[xie2],N,2,我买了一双新鞋。,Wǒ mǎi le yī shuāng xīn xié.,Tôi đã mua một đôi giày mới.
信号,信號,xìn hào,tín hiệu,N,2,信号不太强，手机信号不好。,"Xìnhào bù tài qiáng, shǒujī xìnhào bù hǎo.","Tín hiệu không mạnh, tín hiệu điện thoại không tốt."
心里,心裡,xīn lǐ,ngực/trái tim/tâm trí,N,2,,,
心情,心情,xīn qíng,tâm trạng; khung tâm trí/CL:個|个[ge4],N,2,我的心情很好。,Wǒ de xīnqíng hěn hǎo.,Tâm trạng của tôi rất tốt.
信,信,xìn,thư/thư/CL:封[feng1]/tin tưởng/tin/tuyên bố đức tin vào/sự thật/sự tự tin/tin tưởng/tùy ý/ngẫu nhiên,N,2,我给你写了一封信。,Wǒ gěi nǐ xiě le yī fēng xìn.,Tôi đã viết cho bạn một bức thư.
新闻,新聞,xīn wén,"news/CL:條|条[tiao2],個|个[ge4]",N,2,我每天都看新闻。,Wǒ měitiān dōu kàn xīnwén.,Tôi xem tin tức mỗi ngày.
信息,信息,xìn xī,thông tin/tin tức/tin nhắn,N,2,我们需要更多的信息。,Wǒmen xūyào gèng duō de xìnxī.,Chúng tôi cần thêm thông tin.
信心,信心,xìn xīn,sự tự tin/niềm tin (vào ai đó hoặc cái gì đó)/CL:個|个[ge4],N,2,我对自己有信心。,Wǒ duì zìjǐ yǒu xìnxīn.,Tôi có tự tin vào bản thân.
信用卡,信用卡,xìn yòng kǎ,thẻ tín dụng,N,2,,,
心中,心中,xīn zhōng,điểm trung tâm/trong suy nghĩ của một người/trong trái tim của một người,N,2,,,
行动,行動,xíng dòng,hoạt động/hành động/CL:個|个[ge4]/di chuyển/di động,V/N,2,他的行动非常迅速。,Tā de xíngdòng fēicháng xùnsù.,Hành động của anh ấy rất nhanh chóng.
行人,行人,xíng rén,người đi bộ/khách du lịch đi bộ/người qua đường/viên chức chịu trách nhiệm sắp xếp buổi tiếp kiến ​​với hoàng đế,N,2,行人请遵守交通规则。,Xíngrén qǐng zūnshǒu jiāotōng guīzé.,Người đi bộ vui lòng tuân thủ các quy tắc giao thông.
姓,姓,xìng,họ/tên họ/CL:個|个[ge4]/được đặt họ,N/V,2,你姓什么？,Nǐ xìng shénme?,Họ của bạn là gì?
姓名,姓名,xìng míng,họ và tên/tên đầy đủ,N,2,,,
行为,行為,xíng wéi,hành động/hành vi/hành vi/hoạt động,N,2,这种行为是不允许的。,Zhè zhǒng xíngwéi shì bù yǔnxǔ de.,Hành vi này là không được phép.
星星,星星,xīng xīng,(coll.) một ngôi sao; những ngôi sao trên bầu trời,N,2,,,
休假,休假,xiū jià,đi nghỉ mát; nghỉ lễ; nghỉ phép,,2,,,
许多,許多,xǔ duō,nhiều/rất nhiều/nhiều,Num,2,学校有许多学生。,Xuéxiào yǒu xǔduō xuéshēng.,Trường có nhiều học sinh.
选,選,xuǎn,chọn/lựa chọn/lựa chọn/bầu cử,V,2,,,
雪,雪,xuě,"tuyết/CL:場|场[chang2]/(văn học) lau sạch (sự sỉ nhục, v.v.)",N,2,明天会下雪。,Míngtiān huì xià xuě.,Ngày mai sẽ có tuyết rơi.
学期,學期,xué qī,học kỳ/học kỳ/CL:個|个[ge4],N,2,这个学期很忙。,Zhège xuéqī hěn máng.,Học kỳ này rất bận.
颜色,顏色,yán sè,màu sắc/khuôn mặt/ngoại hình/biểu cảm khuôn mặt/sắc tố/thuốc nhuộm,N,2,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè?,Bạn thích màu gì?
眼,眼,yǎn,"mắt/lỗ nhỏ/điểm then chốt (của một vấn đề)/CL:隻|只[zhi1],雙|双[shuang1]/phân loại cho những vật rỗng lớn (giếng, bếp, nồi, v.v.)",N/M,2,,,
眼睛,眼睛,yǎn jīng,"mắt/CL:隻|只[zhi1],雙|双[shuang1]",N,2,他的眼睛很大。,Tā de yǎnjīng hěn dà.,Mắt của anh ấy rất to.
养,養,yǎng,nuôi (động vật)/nuôi dưỡng (trẻ em)/nuôi (thú cưng)/hỗ trợ/sinh con,V,2,,,
样子,樣子,yàng zi,ngoại hình/phong cách/mô hình/mô hình,N,2,这件衣服的样子很好看。,Zhè jiàn yīfú de yàngzi hěn hǎokàn.,kiểu dáng của quần áo này rất đẹp.
药,"葯,藥",yào,"thuốc/ma túy/chất dùng cho một mục đích cụ thể (ví dụ như đầu độc, nổ, lên men)/CL:種|种[zhong3],服[fu4],味[wei4]/để đầu độc",N,2,我生病了，要吃药。,"Wǒ shēngbìng le, yào chī yào.","Tôi bị ốm, cần uống thuốc."
药店,藥店,yào diàn,hiệu thuốc,N,2,,,
药片,藥片,yào piàn,một viên thuốc hoặc viên nén (thuốc)/CL:片[pian4],N,2,,,
要求,要求,yāo qiú,yêu cầu/yêu cầu/yêu cầu/đặt cược một yêu sách/yêu cầu/đòi hỏi/CL:點|点[dian3],V/N,2,老师对学生有很高的要求。,Lǎoshī duì xuéshēng yǒu hěn gāo de yāoqiú.,Giáo viên có yêu cầu rất cao đối với học sinh.
药水,藥水,yào shuǐ,thuốc dạng lỏng/thuốc đóng chai/thuốc dạng kem,N,2,,,
夜,"夜,亱",yè,đêm,N,2,夜晚的风很凉爽。,Yèwǎn de fēng hěn liángshuǎng.,Gió đêm rất mát mẻ.
夜里,夜裡,yè lǐ,vào ban đêm/vào ban đêm/ban đêm,N,2,,,
也许,也許,yě xǔ,có lẽ/có lẽ,Adv,2,也许明天会下雨。,Yěxǔ míngtiān huì xià yǔ.,Có lẽ ngày mai sẽ mưa.
亿,億,yì,100 triệu,Num,2,中国有十亿多人口。,Zhōngguó yǒu shí yì duō rénkǒu.,Trung Quốc có hơn một tỷ dân.
一般,一般,yì bān,giống nhau/bình thường/tầm thường/phổ biến/chung chung/nói chung/nói chung,Adj,2,这个饭馆很一般。,Zhège fànguǎn hěn yībān.,Nhà hàng này rất bình thường.
一点点,一點點,yì diǎn diǎn,một chút,,2,,,
一定,一定,yí dìng,chắc chắn/chắc chắn/cần thiết/cố định/ở một mức độ nhất định (v.v.)/được đưa ra/cụ thể/phải,Adj/Adv,2,我一定会努力学习。,Wǒ yídìng huì nǔlì xuéxí.,Tôi chắc chắn sẽ học chăm chỉ.
一共,一共,yī gòng,toàn bộ,Adv,2,我们一共有五个人。,Wǒmen yígòng yǒu wǔ gè rén.,Chúng tôi có tổng cộng năm người.
一会儿,一會兒,yī huì er,một khoảnh khắc/một lúc/trong một khoảnh khắc/bây giờ...bây giờ.../cũng pr. [yi1 hui3 r5],,2,请等我一会儿。,Qǐng děng wǒ yíhuìr.,Xin hãy đợi tôi một lát.
意见,意見,yì jiàn,"ý tưởng/ý kiến/gợi ý/phản đối/khiếu nại/CL:點|点[dian3],條|条[tiao2]",N,2,我有一些不同的意见。,Wǒ yǒu yīxiē bùtóng de yìjiàn.,Tôi có một vài ý kiến khác nhau.
一路平安,一路平安,yí lù píng ān,chúc bạn có một chuyến đi vui vẻ/Bon voyage!,,2,,,
一路顺风,一路順風,yī lù shùn fēng,có một chuyến đi thú vị (thành ngữ),,2,,,
以上,以上,yǐ shàng,mức độ đó hoặc cao hơn/số lượng đó hoặc hơn/những điều đã đề cập ở trên/(dùng để chỉ rằng một người đã hoàn thành nhận xét của mình) Vậy là hết.,N,2,,,
意思,意思,yì sī,"ý tưởng/ý kiến/ý nghĩa/mong muốn/mong muốn/sự quan tâm/vui vẻ/biểu tượng của sự đánh giá cao, tình cảm, v.v./CL:個|个[ge4]/tặng như một biểu tượng nhỏ/làm điều gì đó như một cử chỉ thiện chí, v.v.",N,2,这是什么意思？,Zhè shì shénme yìsi?,Điều này có nghĩa là gì?
以后,以後,yǐ hòu,sau/sau đó/sau đó/tiếp theo/sau đó/trong tương lai,N,2,我以后再来。,Wǒ yǐhòu zài lái.,Tôi sẽ đến sau.
已经,已經,yǐ jīng,đã,Adv,2,我已经吃过饭了。,Wǒ yǐjīng chī guò fàn le.,Tôi đã ăn cơm rồi.
以前,以前,yǐ qián,trước/trước đây/trước đó/trước đây,N,2,我以前住在北京。,Wǒ yǐqián zhù zài Běijīng.,Tôi đã từng sống ở Bắc Kinh.
以外,以外,yǐ wài,ngoài/khác với/ngoại trừ/bên ngoài/bên ngoài/ở phía bên kia của/vượt ra ngoài,N,2,,,
以下,以下,yǐ xià,mức đó hoặc thấp hơn/số tiền đó hoặc ít hơn/sau đây,N,2,,,
以为,以為,yǐ wéi,nghĩ (tức là cho rằng đúng là ...) (Thông thường có hàm ý rằng khái niệm này là sai lầm – ngoại trừ khi bày tỏ ý kiến ​​hiện tại của riêng mình.),V,2,我以为你不来了。,Wǒ yǐwéi nǐ bù lái le.,Tôi tưởng rằng bạn không đến.
一部分,一部分,yī bù fèn,phần/một phần của/tập hợp con,,2,,,
一生,一生,yī shēng,suốt cuộc đời; suốt cuộc đời,N,2,,,
一直,一直,yì zhí,thẳng (theo một đường thẳng)/liên tục; luôn luôn; suốt chặng đường,Adv,2,他一直在学习。,Tā yìzhí zài xuéxí.,Anh ấy luôn luôn học tập.
椅子,椅子,yǐ zi,"ghế/CL:把[ba3],套[tao4]",N,2,,,
阴,"陰,隂",yīn,biến thể của 陰|阴[yin1],Adj,2,今天是阴天。,Jīntiān shì yīntiān.,Hôm nay là ngày trời âm u.
银行,銀行,yín háng,"ngân hàng/CL:家[jia1],個|个[ge4]",N,2,我去银行取钱。,Wǒ qù yínháng qǔ qián.,Tôi đến ngân hàng rút tiền.
银行卡,銀行卡,yín háng kǎ,thẻ ngân hàng/thẻ ATM,N,2,,,
音节,音節,yīn jié,âm tiết,N,2,,,
阴天,陰天,yīn tiān,ngày nhiều mây; bầu trời u ám,N,2,,,
因为,因為,yīn wèi,bởi vì/do/vì lý do,Conj/Prep,2,因为下雨，我不去跑步。,"Yīnwèi xiàyǔ, wǒ bú qù pǎobù.","Vì trời mưa, tôi không đi chạy bộ."
音乐,音樂,yīn yuè,"music/CL:張|张[zhang1],曲[qu3],段[duan4]",N,2,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.
音乐会,音樂會,yīn yuè huì,buổi hòa nhạc/CL:場|场[chang3],N,2,,,
应该,應該,yīng gāi,nên/nên/phải,V,2,你应该多休息。,Nǐ yīnggāi duō xiūxí.,Bạn nên nghỉ ngơi nhiều hơn.
影片,影片,yǐng piān,một bản sao của một bộ phim/phim; phim ảnh; phim/CL:部[bu4],N,2,,,
影响,影響,yǐng xiǎng,ảnh hưởng/tác động/ảnh hưởng/làm ảnh hưởng (thường là bất lợi)/làm xáo trộn/CL:股[gu3],V/N,2,这个电影对我影响很大。,Zhège diànyǐng duì wǒ yǐngxiǎng hěn dà.,Bộ phim này có ảnh hưởng lớn đối với tôi.
英文,英文,yīng wén,Tiếng Anh (ngôn ngữ),N,2,,,
英语,英語,yīng yǔ,Tiếng Anh (ngôn ngữ),N,2,,,
永远,永遠,yǒng yuǎn,mãi mãi/vĩnh cửu,Adv,2,我们的友谊永远不会改变。,Wǒmen de yǒuyì yǒngyuǎn bù huì gǎibiàn.,Tình bạn của chúng ta sẽ không bao giờ thay đổi.
又,又,yòu,(một lần) lần nữa/cũng/cả hai... và.../và tuy nhiên/(dùng để nhấn mạnh) dù sao đi nữa,Adv,2,他又来了。,Tā yòu lái le.,Anh ấy lại đến.
有点儿,有點兒,yǒu diǎn ér,hơi/một chút/hơi,,2,,,
友好,友好,yǒu hǎo,thân thiện; bạn thân/bạn bè thân thiết,Adj,2,他们对我们很友好。,Tāmen duì wǒmen hěn yǒuhǎo.,Họ rất thân thiện với chúng tôi.
有空儿,有空兒,yǒu kòng er,biến thể đàn nhị của 有空|有空[you3 kong4],V,2,,,
游客,遊客,yóu kè,du khách; khách du lịch/(chơi game trực tuyến) khách chơi,N,2,,,
有人,有人,yǒu rén,ai đó/mọi người/bất kỳ ai/có ai đó ở đó/đang ở đó (như trong phòng vệ sinh),,2,,,
有意思,有意思,yǒu yì sī,thú vị/có ý nghĩa/thú vị/vui nhộn,,2,,,
油,油,yóu,"dầu/chất béo/mỡ/dầu mỏ/để bôi dầu trẩu, sơn hoặc vecni/dầu/nhờn/bóng bẩy/xảo quyệt",N,2,,,
鱼,魚,yú,"cá/CL:條|条[tiao2],尾[wei3]",N,2,我们晚饭吃鱼。,Wǒmen wǎnfàn chī yú.,Chúng tôi ăn cá vào bữa tối.
语言,語言,yǔ yán,"ngôn ngữ/CL:門|门[men2],種|种[zhong3]",N,2,他会说多种语言。,Tā huì shuō duō zhǒng yǔyán.,Anh ấy có thể nói nhiều ngôn ngữ.
院,院,yuàn,sân/cơ quan/CL:個|个[ge4],N,2,,,
原来,原來,yuán lái,"bản gốc; trước đây/ban đầu; trước đây; lúc đầu/vậy, thực ra, như nó diễn ra",Adj/Adv,2,我原来住在北京。,Wǒ yuánlái zhù zài Běijīng.,Tôi vốn sống ở Bắc Kinh.
愿意,願意,yuàn yì,muốn/muốn/sẵn sàng/muốn làm (điều gì đó),V,2,,,
原因,原因,yuán yīn,nguyên nhân/nguồn gốc/nguyên nhân gốc rễ/lý do/CL:個|个[ge4],N,2,他解释了事情的原因。,Tā jiěshì le shìqíng de yuányīn.,Anh ấy đã giải thích nguyên nhân của sự việc.
院长,院長,yuàn zhǎng,người đứng đầu một tổ chức có tên kết thúc bằng 院[yuan4]/chủ tịch hội đồng quản trị/hiệu trưởng trường đại học/trưởng khoa/trưởng khoa/thủ tướng của Trung Hoa Dân Quốc/CL:個|个[ge4],N,2,,,
院子,院子,yuàn zi,sân/vườn/sân/hiên/CL:個|个[ge4]/(cũ) người hầu,N,2,,,
月份,月份,yuè fèn,tháng,N,2,,,
越,越,yuè,vượt quá/vượt qua/vượt qua/càng nhiều... càng nhiều,Adv,2,,,
越来越,越來越,yuè lái yuè,ngày càng nhiều,,2,,,
