simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
月,計時的單位，公曆年分為個月,yuè,ㄩㄝˋ,nguyệt,,tháng; mỗi tháng; hàng tháng; trăng; mặt trăng; họ/ tên Nguyệt; có hình mặt trăng,计时的单位，公历1年分为12个月【計時的單位，公曆年分為個月】,一年有十二月。,yī nián yǒu shí'èryuè.,Một năm có mười hai tháng.,,月亮NGUYỆT LƯỢNG; 月底NGUYỆT ĐỂ; 月饼【月餅】NGUYỆT BÍNH; 岁月【歲月】TUẾ NGUYỆT,NGUYỆT 月Số nét: 4,4,ノフ一一,
在,你真倖福，父母都還在。,zài,ㄗㄞˋ,tại,,"sống; tồn tại; sinh tồn; ở (biểu thị người hoặc vị trí của sự vật); tại; tại chức; đang giữ; do; quyết định bởi; thuộc; tham gia; đang (làm gì đó); đang, ở, vào (ở đâu, thời gian nào, điều kiện nào)",存在;生存,你真幸福，父母都还在。【你真倖福，父母都還在。】,"nǐ zhēn xìngfú, fùmǔ dōu hái zài.","Bạn thật hạnh phúc, bố mẹ đều còn sống.",,现在【現在】HIỆN TẠI; 正在CHÍNH TẠI; 实在【實在】THỰC TẠI; 在乎TẠI HỒ.HÔ; 正在CHÍNH TẠI,THỔ 土Số nét: 6,6,一ノ丨一丨一,
再,錶示衕一動作、行為的重復或繼續。多指未實現的或持續性的動作或行為,zài,ㄗㄞˋ,tái,,nữa; lại (biểu thị lại lần nữa); nữa; hơn; sẽ (hành động tiếp theo sẽ xảy ra); thêm; nữa; ngoài ra; lại; tiếp tục; lại xuất hiện; lại; thêm; lại; tiếp tục; họ Tái,表示同一动作、行为的重复或继续。多指未实现的或持续性的动作或行为【錶示衕一動作、行為的重復或繼續。多指未實現的或持續性的動作或行為】,请再给我一点时间。【請再給我一點時間。】,qǐng zài gěi wǒ yīdiǎn shíjiān.,Xin hãy cho tôi thêm một chút thời gian nữa.,再 + Động từ (去、写、看、听、讲、说、写),再见【再見】TÁI KIẾN; 再说【再説】TÁI THUYẾT; 再三TÁI TAM; 再来【再來】TÁI LAI; 还【還】HOÀN,QUYNH 冂Số nét: 6,6,一丨フ丨一一,
在家,在傢,zàijiā,ㄗㄞˋㄐㄧㄚ,tại gia,,ở nhà; có nhà; có mặt; tại gia (chỉ người không đi tu),在家里;在工作或住宿的地方;没有出门【在傢裡/裏;在工作或住宿的地方;沒有齣門】,今天我会在家工作。【今天我會在傢工作。】,jīntiān wǒ huì zàijiā gōngzuò.,Hôm nay tôi sẽ làm việc ở nhà.,,不在家【不在傢】BẤT TẠI GIA; 在家工作【在傢工作】TẠI GIA CÔNG TÁC; 外出【外齣】NGOẠI XUẤT,THỔ 土Số nét: 6,6,一ノ丨一丨一,
再见,再見,zàijiàn,ㄗㄞˋㄐㄧㄢˋ,tái kiến,,tạm biệt; chào tạm biệt,客套话，用于分手时【客套話，用於分手時】,离开时，别忘了说再见。【離開時，別忘了説再見。】,"líkāi shí, bié wàngle shuō zàijiàn.",Khi ra về đừng quên chào tạm biệt.,跟 + A + 说再见,看见【看見】KHÁN KIẾN; 永别【永別】VĨNH BIỆT; 相会【相會】TƯƠNG HỘI; 晚安VÃN AN; 拜拜BÁI BÁI,QUYNH 冂Số nét: 6,6,一丨フ丨一一,
早,早上的空氣很清新。,zǎo,ㄗㄠˇ,tảo,,sáng sớm; sáng tinh mơ; từ lâu; lâu (biểu thị trước đó); trước; sớm (so với thời gian quy định); chào (lời chào lúc gặp mặt nhau vào buổi sáng); đầu; sớm,早晨,早上的空气很清新。【早上的空氣很清新。】,zǎoshang de kōngqì hěn qīngxīn.,Không khí buổi sáng rất trong lành.,从早到晚 + Động từ/Tính từ,早上TẢO THƯỢNG; 早餐TẢO XAN; 早饭【早飯】TẢO PHẠN; 早安TẢO AN; 晚VÃN,NHẬT 日Số nét: 6,6,丨フ一一一丨,
早饭,早飯,zǎofàn,ㄗㄠˇㄈㄢˋ,tảo phạn,,bữa sáng,早晨吃的饭【早晨吃/喫的飯】,你吃早饭了吗？【你吃/喫早飯了嗎】,nǐ chī zǎofànle ma?,Bạn đã ăn bữa sáng chưa?,Định ngữ (Ai/ 今天/ 食堂/...) + 的 + 早饭,做早饭【做早飯】TỐ TẢO PHẠN; 晚饭【晚飯】VÃN PHẠN; 晚餐VÃN XAN; 早餐TẢO XAN,NHẬT 日Số nét: 6,6,丨フ一一一丨,
早上,後天早上,zǎoshang,ㄗㄠˇㄕㄤˋ,tảo thượng,,sáng sớm; buổi sáng,早晨,明天早上。,míngtiān zǎoshang,Sáng mai.,早上 + （不）Động từ,早上好TẢO THƯỢNG HẢO; 明天早上MINH THIÊN TẢO THƯỢNG; 后天早上【後天早上】HẬU THIÊN TẢO THƯỢNG; 晚上VÃN THƯỢNG; 早晨TẢO THẦN,NHẬT 日Số nét: 6,6,丨フ一一一丨,
怎么,怎麼,zěnme,ㄗㄣˇㄇㄜ˙,chẩm ma,,"sao; làm sao; thế nào (tính chất, tình hình, phương thức, nguyên nhân,...); thế; như thế; gì cơ; sao cơ (dùng ở đầu câu, biểu thị sự ngạc nhiên)",询问性质、状况、方式、原因等【詢問性質、狀況、方式、原因等】,这是怎么回事?【這是怎麼迴事】,zhè shì zěnme huí shì?,Việc này là thế nào?,不怎么 + Tính từ (好，难，好看...),怎么样【怎麼樣】CHẨM MA DẠNG; 怎么了【怎麼了】CHẨM MA LIỄU; 怎么办【怎麼辦】CHẨM MA BIỆN; 怎么走【怎麼走】CHẨM MA TẨU; 那么【那麼】NA MA,TÂM 心Số nét: 9,9,ノ一丨一一丶フ丶丶,
站,直著身子；雙腳著地或踩在物體上,zhàn,ㄓㄢˋ,trạm,,đứng; dừng lại; đứng lại; trạm; ga; họ Trạm; trạm; nhà trạm; nhà trọ; cơ quan tổ chức dùng để liên lạc; đơn vị nhỏ đặt ra cho một dịch vụ nào đó,直着身子；双脚着地或踩在物体上【直著身子；雙腳著地或踩在物體上】,我们站在一起。【我們站在一起。】,wǒmen zhàn zài yīqǐ.,Chúng ta đứng cùng nhau.,站 + 着 ( + động từ ),车站【車站】XA TRẠM; 网站【網站】VÕNG TRẠM; 站住TRẠM TRÚ; 站台【站檯】TRẠM ĐÀI; 坐TOẠ,LẬP 立Số nét: 10,10,丶一丶ノ一丨一丨フ一,
找,為了要見到或得到所需求的人或事物而努力,zhǎo,ㄓㄠˇ,trảo,,tìm; kiếm; tìm kiếm; trả lại; thối lại (tiền); thêm; bù; bù thêm; bổ sung (phần thiếu); cố ý; cố tình; tự chuốc (để lại hậu quả),为了要见到或得到所需求的人或事物而努力【為了要見到或得到所需求的人或事物而努力】,我在找丢失的钥匙。【我在找丟失的鑰匙。】,wǒ zài zhǎo diūshī de yàoshi.,Tôi đang tìm chìa khóa bị mất.,找 + 得/不 + 到/着/回来,寻找【尋找】TẦM TRẢO; 找到TRẢO ĐÁO; 找钱【找錢】TRẢO TIỀN; 找茬TRẢO TRA; 寻【尋】TẦM,THỦ 手Số nét: 7,7,一丨一一フノ丶,
找到,"找到：歌麴;經過研究、探索等,看到或找到前人沒有看到的事物或規律",zhǎodào,ㄓㄠˇㄉㄠˋ,trảo đáo,,tìm được; tìm thấy; tìm ra,"找到：歌曲; 经过研究、探索等, 看到或找到前人没有看到的事物或规律【找到：歌麴;經過研究、探索等,看到或找到前人沒有看到的事物或規律】",太好了！我找到这本书了。【太好了我找到這本書了。】,tài hǎole! Wǒ zhǎodào zhè běn shūle.,Quá tốt rồi! tôi tìm được quyển sách này rồi,找到 + Tân ngữ,,THỦ 手Số nét: 7,7,一丨一一フノ丶,
这边,這邊,zhèbiān,ㄓㄜˋㄅㄧㄢ,giá biên,,ở đây; bên này; chỗ này; phía này (cách người nói ở khoảng cách khá gần),这一边，里说话人比较近的地方【這一邊，裡/裏説話人比較近的地方】,这边完全没有信号。【這邊完全沒有信號。】,zhèbiān wánquán méiyǒu xìnhào.,Ở đây hoàn toàn không có tín hiệu.,,这边儿【這邊兒】GIÁ BIÊN NHI; 那里【那裡/裏】NA LÍ; 那边【那邊】NA BIÊN; 这儿【這兒】GIÁ NHI; 这里【這裡/裏】GIÁ LÍ,SƯỚC 辵Số nét: 7,7,丶一ノ丶丶フ丶,
这儿,這兒,zhèr,ㄓㄜˋㄦ˙,giá nhi,,ở đây; nơi này; chỗ này; lúc này; từ đây,这里【這裡/裏】,我们可以在这儿休息一下。【我們可以在這兒休息一下。】,wǒmen kěyǐ zài zhèr xiūxi yīxià.,Chúng ta có thể nghỉ ngơi một chút ở đây.,,那儿【那兒】NA NHI; 这边【這邊】GIÁ BIÊN,SƯỚC 辵Số nét: 7,7,丶一ノ丶丶フ丶,
这里,這裡/裏,zhèlǐ,ㄓㄜˋㄌㄧˇ,giá lí,,ở đây; nơi này; nơi đây; tại đây,指示代词，指示比较近的处所【指示代詞，指示比較近的處所】,请在这里签名。【請在這裡/裏籤名。】,qǐng zài zhèlǐ qiānmíng.,Vui lòng ký tên tại đây.,这里 + 的 + Danh từ + Phó từ + Tính từ,在这里【在這裡/裏】TẠI GIÁ LÍ; 那里【那裡/裏】NA LÍ; 这边【這邊】GIÁ BIÊN; 此处【此處】THỬ XỨ,SƯỚC 辵Số nét: 7,7,丶一ノ丶丶フ丶,
这些,這些,zhèxiē,ㄓㄜˋㄒㄧㄝ,giá ta,,những ... này; mấy ... này,指示代词; 指示较近的两个以上的人或事物也说这些个【指示代詞;指示較近的兩個以上的人或事物也説這些個】,这些花很漂亮。【這些花很漂亮。】,zhèxiē huā hěn piàoliang.,Những bông hoa này rất đẹp.,,这些个【這些個】GIÁ TA CÁ; 这些档案【這些檔案】GIÁ TA ĐÁNG ÁN; 这个【這個】GIÁ CÁ; 这等【這等】GIÁ ĐẲNG,SƯỚC 辵Số nét: 7,7,丶一ノ丶丶フ丶,
着,著,zhe,ㄓㄜ˙,trước,,"đang (đặt sau động từ chỉ sự việc đang tiến hành); đang (biểu thị sự tiếp tục của trạng thái); đây; nhé; chứ (dùng sau động từ hoặc tính từ chỉ trình độ, tăng thêm ngữ khí); theo (đặt sau động từ, tạo thành giới từ)",表示动作的持续【錶示動作的持續】,雨不停地下着。【雨不停地下著。】,yǔ bù tíng de xiàzhe.,Mưa đang rơi không ngớt.,(正在/正/在) + Động từ + 着 + ( Tân ngữ) + (呢),随着【隨著】TUỲ TRƯỚC; 接着【接著】TIẾP TRƯỚC; 沿着【沿著】DUYÊN TRƯỚC; 跟着【跟著】CÂN TRƯỚC; 灭【滅】DIỆT,MỤC 目Số nét: 11,11,丶ノ一一一ノ丨フ一一一,
这,這,zhè,ㄓㄜˋ,giá,,đây; này; cái này; nay; ngay; lúc này; bây giờ; ngay bây giờ; này; đây; cái này; việc này; điều này,指距离比较近的人或事物（跟“那”相对）【指距離比較近的人或事物跟那相對】,这是我的汉语老师。【這是我的漢語老師。】,zhè shì wǒ de hànyǔ lǎoshī.,Đây là giáo viên tiếng Trung của tôi.,这 + 就/才 + Động từ (来/去/睡...),这么【這麼】GIÁ MA; 这些【這些】GIÁ TA; 这样【這樣】GIÁ DẠNG; 这个【這個】GIÁ CÁ; 那NA,SƯỚC 辵Số nét: 7,7,丶一ノ丶丶フ丶,
真,符閤客觀事實的跟''假、偽/僞''相對),zhēn,ㄓㄣ,chân,,thật; thật sự; đúng sự thật; chính xác; rõ ràng; chân thật; tự nhiên; ban đầu; nguyên dạng; chân dung; bản sao; chân tướng (sự thật); chân thư; chữ khải; họ Chân; quá; thật; thực sự,符合客观事实的 (跟''假、伪''相对)【符閤客觀事實的跟''假、偽/僞''相對)】,他说的事情是真的。【他説的事情是真的。】,tā shuō de shìqíng shì zhēn de.,Điều anh ấy nói là thật.,Chủ ngữ + (不+) 是 + 真 + 的,认真【認真】NHẬN CHÂN; 真正CHÂN CHÍNH; 传真【傳真】TRUYỀN CHÂN; 真的CHÂN ĐÍCH; 假GIẢ,MỤC 目Số nét: 10,10,一丨丨フ一一一一ノ丶,
真的,強調情況確實存在,zhēn de,ㄓㄣㄉㄜ˙,chân đích,,thật á; thật sự ư; có thật không; thật; quả thật; thật sự; đúng vậy,强调情况确实存在【強調情況確實存在】,莫非真的戒酒了?,mòfēi zhēn de jiè jiǔle?,Chẳng lẽ đã cai rượu thật rồi sao?,Chủ ngữ+ 真的+ Động từ/ Tính từ,说真的【説真的】THUYẾT CHÂN ĐÍCH; 真的？CHÂN ĐÍCH __,MỤC 目Số nét: 10,10,一丨丨フ一一一一ノ丶,
正在,副詞，錶示動作在進行或狀態在持續中,zhèngzài,ㄓㄥˋㄗㄞˋ,chính tại,,đang; đương; còn đang; vẫn đang,副词，表示动作在进行或状态在持续中【副詞，錶示動作在進行或狀態在持續中】,他们正在开会。【他們正在開會。】,tāmen zhèngzài kāihùi。,Họ đang họp.,正在 + Động từ + Tân ngữ,正在听取【正在聽取】CHÍNH TẠI THÍNH THỦ; 正在维修【正在維脩】CHÍNH TẠI DUY TU; 正在扫描【正在掃描】CHÍNH TẠI TẢO MIÊU; 正在验证【正在驗證】CHÍNH TẠI NGHIỆM CHỨNG; 以前DĨ TIỀN,CHỈ 止Số nét: 5,5,一丨一丨一,
正,方嚮或位置不偏不斜；位置在中間的跟偏歪相對,zhèng,ㄓㄥˋ,chính,,chính giữa; ở giữa; chính diện; chính; chuẩn; chính trực; đúng đắn; mặt trước; dương; số dương; đúng giờ; đúng thời điểm; hình vuông; hình đa giác đều; chỉnh; làm thẳng; đặt đúng; khắc phục; điều chỉnh; sửa; sửa lỗi; đang; vừa; vừa hay; vừa vặn; vừa đúng lúc; đúng; chính,方向或位置不偏不斜；位置在中间的（跟“偏”“歪”相对）【方嚮或位置不偏不斜；位置在中間的跟偏歪相對】,他的方向是正对着前方。【他的方嚮是正對著前方。】,tā de fāngxiàng shì zhèng duìzhe qiánfāng.,Hướng đi của anh ấy là chính diện về phía trước.,很/不+正,反正PHẢN CHÍNH; 正在CHÍNH TẠI; 正式CHÍNH THỨC; 正好CHÍNH HẢO; 倒ĐẢO,CHỈ 止Số nét: 5,5,一丨一丨一,
知道,對於事實或道理有認識;懂事,zhīdào,ㄓㄉㄠˋ,tri đạo,,biết; hiểu; rõ; hay biết; hiểu rõ,对于事实或道理有认识;懂事【對於事實或道理有認識;懂事】,他知道的事情很多。,tā zhīdào de shìqíng hěnduō。,Những việc anh ấy biết thì rất nhiều.,知道 + Tân ngữ (人/ 对方/ 事/ 为什么）,知道了TRI ĐẠO LIỄU; 谁知道【誰知道】THUỲ TRI ĐẠO; 哪知道NA TRI ĐẠO; 早知道TẢO TRI ĐẠO; 不懂BẤT ĐỔNG,THỈ 矢Số nét: 8,8,ノ一一ノ丶丨フ一,
知识,知識,zhīshi,ㄓㄕ˙,tri thức,,tri thức; kiến thức; sự hiểu biết; trí thức,人们在改造世界的实践中所获得的认识和经验的总和【人們在改造世界的實踐中所穫得的認識和經驗的總和】,知识能帮助我们。【知識能幫助我們。】,zhīshi néng bāngzhù wǒmen.,Kiến thức có thể giúp đỡ chúng ta.,这/số lượng + 门/种 + 知识,冷知识【冷知識】LÃNH TRI THỨC; 知识产权【知識産權】TRI THỨC SẢN QUYỀN; 无知【無知】VÔ TRI; 文化VĂN HÓA; 学问【學問】HỌC VẤN,THỈ 矢Số nét: 8,8,ノ一一ノ丶丨フ一,
重,重量大;比重大跟''輕''相對),zhòng,ㄓㄨㄥˋ,trọng,,"nặng; nặng; sâu nặng; sâu đậm; đậm sâu (mức độ); trọng yếu; quan trọng; nặng nề; cẩn trọng, thận trọng; cẩn thận; tự trọng; trang trọng; coi trọng; xem trọng; nặng; trọng lượng",重量大; 比重大 (跟''轻''相对)【重量大;比重大跟''輕''相對)】,这个箱子很重。【這個箱子很重。】,zhège xiāngzi hěn zhòng.,Chiếc hộp này rất nặng.,Chủ ngữ (箱子、行李、任务、......( + 很/不 +）重,重要TRỌNG YẾU; 尊重TÔN TRỌNG; 重视【重視】TRỌNG THỊ; 严重【嚴重】NGHIÊM TRỌNG; 轻【輕】KHINH,LÝ 里Số nét: 9,9,ノ一丨フ一一丨一一,
中国,中國,Zhōngguó,ㄓㄨㄥㄍㄨㄛˊ,trung quốc,,Trung Hoa; Trung Quốc; nước cộng hoà nhân dân Trung Hoa,华夏族、汉族多在黄河南、北建都，因称其地为中国”，与中土”、中原”、中州”、中华”含义相同。 中华人民共和国”的简称【華夏族、漢族多在黃河南、北建都，因稱其地為中國，與中土、中原、中州、中華含義相衕。中華人民共和國的簡稱】,我喜欢中国文化。【我喜歡中國文化。】,wǒ xǐhuan Zhōngguó wénhuà.,Tôi thích văn hóa Trung Quốc.,中国 (+的) + Danh từ,中国菜【中國菜】TRUNG QUỐC THÁI; 中国人【中國人】TRUNG QUỐC NHÂN; 中国通【中國通】TRUNG QUỐC THÔNG; 中国画【中國畫】TRUNG QUỐC HỌA; 中华【中華】TRUNG HOA,CỔN 丨Số nét: 4,4,丨フ一丨,
重要,具有重大的意義、作用和影響的,zhòngyào,ㄓㄨㄥˋㄧㄠˋ,trọng yếu,,quan trọng; trọng yếu,具有重大的意义、作用和影响的【具有重大的意義、作用和影響的】,团队合作至关重要。【團隊閤作至關重要。】,tuánduì hézuò zhì guān zhòngyào.,Làm việc theo nhóm là rất quan trọng.,A + Phó từ + 重要,重要性TRỌNG YẾU TÍNH; 至关重要【至關重要】CHÍ QUAN TRỌNG YẾU; 重要途径【重要途徑】TRỌNG YẾU ĐỒ KÍNH; 重要人物TRỌNG YẾU NHÂN VẬT; 次要THỨ YẾU,LÝ 里Số nét: 9,9,ノ一丨フ一一丨一一,
中,跟四週、上下或兩端的距離相等的部位,zhōng,ㄓㄨㄥ,trung,,"giữa; chính giữa; trung tâm; Trung Quốc; trong; bên trong; giữa; trung; trung bình; nội tâm; trong lòng; người trung gian; người ở giữa; người môi giới; trong; trên (lĩnh vực, phương diện); họ Trung; được; thích hợp; hợp lý; khả thi",跟四周、上下或两端的距离相等的部位【跟四週、上下或兩端的距離相等的部位】,她站在房间的中间。【她站在房間的中間。】,tā zhàn zài fángjiān de zhōngjiān.,Cô ấy đứng ở giữa phòng.,从/在/处于+ 中 （+动词）,中国【中國】TRUNG QUỐC; 其中KỲ TRUNG; 中午TRUNG NGỌ; 中文TRUNG VĂN; 外NGOẠI,CỔN 丨Số nét: 4,4,丨フ一丨,
中间,中間,zhōngjiān,ㄓㄨㄥㄐㄧㄢ,trung gian,,trong; trong số; bên trong; trung tâm; chính giữa; giữa,在一定的范围里面【在一定的範圍裡/裏麵】,我的朋友中间有姓赵的。【我的朋友中間有姓趙的。】,wǒ de péngyou zhōngjiān yǒu xìng Zhào de.,Bạn bè tôi có người họ Triệu đấy.,,中间商【中間商】TRUNG GIAN THƯƠNG; 中间名【中間名】TRUNG GIAN DANH; 中间人【中間人】TRUNG GIAN NHÂN; 中间层【中間層】TRUNG GIAN TẰNG; 旁边【旁邊】BÀNG BIÊN,CỔN 丨Số nét: 4,4,丨フ一丨,
中文,中國的語言和文字；特指漢語和漢字,zhōngwén,ㄓㄨㄥㄨㄣˊ,trung văn,,tiếng Trung,中国的语言和文字；特指汉语和汉字【中國的語言和文字；特指漢語和漢字】,她的中文说得很好。【她的中文説得很好。】,tā de zhōngwén shuō de hěn hǎo.,Cô ấy nói tiếng Trung rất tốt.,,中文系【中文繫】TRUNG VĂN HỆ; 中文姓名TRUNG VĂN TÍNH DANH; 外文NGOẠI VĂN; 华文【華文】HOA VĂN; 汉文【漢文】HÁN VĂN,CỔN 丨Số nét: 4,4,丨フ一丨,
中午,指白天十二點左右的一段時間,zhōngwǔ,ㄓㄨㄥㄨˇ,trung ngọ,,buổi trưa,指白天十二点左右的一段时间【指白天十二點左右的一段時間】,中午的阳光很强烈。【中午的陽光很強烈。】,zhōngwǔ de yángguāng hěn qiángliè.,Ánh nắng buổi trưa rất gay gắt.,,半夜BÁN DẠ; 正午CHÍNH NGỌ; 日中NHẬT TRUNG; 午时【午時】NGỌ THÌ,CỔN 丨Số nét: 4,4,丨フ一丨,
中学,中學,zhōngxué,ㄓㄨㄥㄒㄩㄝˊ,trung học,,trung học; trường trung học; học thuật truyền thống,对青少年实施中等教育的学校【對青少年實施中等教育的學校】,他是我中学的同学。【他是我中學的衕學。】,tā shì wǒ zhōngxué de tóngxué.,Anh ấy là bạn học của tôi ở trường trung học.,,中学生【中學生】TRUNG HỌC SINH.SANH; 初级中学【初級中學】SƠ CẤP TRUNG HỌC; 高中学生【高中學生】CAO TRUNG HỌC SINH.SANH; 职业中学【職業中學】CHỨC NGHIỆP TRUNG HỌC; 西学【西學】TÂY HỌC,CỔN 丨Số nét: 4,4,丨フ一丨,
中学生,中學生,zhōngxuéshēng,ㄓㄨㄥㄒㄩㄝˊㄕㄥ,trung học sinh,,học sinh trung học,在中学读书的学生【在中學讀書的學生】,他是一位优秀的中学生。【他是一位優秀的中學生。】,tā shì yī wèi yōuxiù de zhōngxuéshēng.,Anh ấy là một học sinh trung học xuất sắc.,,高中学生【高中學生】CAO TRUNG HỌC SINH.SANH,CỔN 丨Số nét: 4,4,丨フ一丨,
住,你打算住幾天,zhù,ㄓㄨˋ,trú,,ở; sống; trọ; cư trú; dừng; ngưng; dừng lại; được; nổi; đủ sức; đảm nhiệm được; chịu đựng được; chắc; chặt,居住; 住宿,你打算住几天？【你打算住幾天】,nǐ dǎsuàn zhù jǐ tiān?,Bạn định ở bao nhiêu ngày?,住 + 的 + Tân ngữ,记住【記住】KÝ TRÚ; 住院TRÚ VIỆN; 抓住TRẢO TRÚ; 住宅TRÚ TRẠCH; 宿TÚC,NHÂN 人Số nét: 7,7,ノ丨丶一一丨一,
准备,準備,zhǔnbèi,ㄓㄨㄣˇㄅㄟˋ,chuẩn bị,,chuẩn bị; sắp sửa; sẵn sàng; dự định; định; định bụng; sự chuẩn bị,预先安排或筹划【預先安排或籌劃】,你准备好了吗？【你準備好了嗎】,nǐ zhǔnbèi hǎole ma?,Cậu đã sẵn sàng chưa?,A + 为 + B + （做了）+ 准备,准备金【準備金】CHUẨN BỊ KIM; 准备好了【準備好了】CHUẨN BỊ HẢO LIỄU; 准备工作【準備工作】CHUẨN BỊ CÔNG TÁC; 准备下料【準備下料】CHUẨN BỊ HẠ LIỆU; 放弃【放棄】PHÓNG KHÍ,BĂNG 冫Số nét: 10,10,丶一ノ丨丶一一一丨一,
桌子,傢具，上有平麵，下有支柱，在上麵放東西或做事情,zhuōzi,ㄓㄨㄛㄗ˙,trác tử,,bàn; cái bàn,家具，上有平面，下有支柱，在上面放东西或做事情【傢具，上有平麵，下有支柱，在上麵放東西或做事情】,书在桌子上。【書在桌子上。】,shū zài zhuōzi shang.,Sách ở trên bàn.,,拍桌子PHÁCH TRÁC TỬ; 擦桌子SÁT TRÁC TỬ; 木头桌子【木頭桌子】MỘC ĐẦU TRÁC TỬ,MỘC 木Số nét: 10,10,丨一丨フ一一一丨ノ丶,
字,他要寫字。,zì,ㄗˋ,tự,,"từ; chữ; văn tự; chữ viết; chữ; âm chữ (âm); chữ; thể chữ; kiểu chữ; tranh chữ (tác phẩm thư pháp); từ; chữ; văn tự; giấy tờ; chứng từ; tự; tên tự; tên chữ; Kw; mét khối (số điện, số nước); hứa hôn",文字,他要写900字。【他要寫字。】,tā yào xiě 900 zì.,Cậu ấy cần phải viết 900 chữ.,,汉字【漢字】HÁN TỰ; 数字【數字】SỔ TỰ; 字典TỰ ĐIỂN; 字幕TỰ MẠC,TỬ 子Số nét: 6,6,丶丶フフ丨一,
子,古代指兒女，現在專指兒子,zǐ,ㄗ˙,tử,,"con cái (thời xưa chỉ con trai và con gái, nay chỉ con trai); người; tử (thời xưa chỉ những người đàn ông có học thức, đồng thời là mỹ từ để gọi đàn ông); tử tước (nhà quý tộc xếp cao hơn nam tước và thấp hơn bá tước); anh; mày; ngươi (đại từ nhân xưng ngôi thứ hai số ít); tử (thời xưa phân loại sách thành kinh, sử, tử, tập); trứng; hạt; hột; hạt giống; viên; hòn; tiền đồng; đồng xu; tý (vị trí thứ nhất của Địa Chi); họ Tử; nắm; bó; non; nhỏ; con; thuộc; cấp dưới",古代指儿女，现在专指儿子【古代指兒女，現在專指兒子】,他是独生子。【他是獨生子。】,tā shì dúshēngzǐ.,Anh ấy là con một.,,妻子THÊ TỬ; 电子【電子】ĐIỆN TỬ; 孔子KHỔNG TỬ; 子女TỬ NỮ; 女NỮ,TỬ 子Số nét: 3,3,フ丨一,
走,人或鳥獸的腳交互嚮前移動,zǒu,ㄗㄡˇ,tẩu,,"đi; đi bộ; đi qua; chạy; di chuyển; di động; chuyển động (xe, thuyền); qua; đi qua; vượt qua; đi; lên đường; rời khỏi; rời đi; tách khỏi; đi; mất; chết; qua đời; thăm viếng; qua lại; đi lại; lộ ra; tiết lộ; để hở; lọt ra; để lộ ra; lạc; sai; chệch; phai; thay đổi; nước đi (đánh cờ); trở nên (xuất hiện xu thế)",人或鸟兽的脚交互向前移动【人或鳥獸的腳交互嚮前移動】,老公啊，孩子会走啦。【老公啊，孩子會走啦。】,"lǎogōng a, háizi huì zǒu la.","Chồng ơi, con biết đi rồi nè.",向/往 + Tân ngữ (左/右/前/东/北) + 走,走路TẨU LỘ; 走廊TẨU LANG; 走散TẨU TÁN; 慢走MẠN TẨU; 行HÀNH,TẨU 走Số nét: 7,7,一丨一丨一ノ丶,
走路,走路對身體有好處。,zǒulù,ㄗㄡˇㄌㄨˋ,tẩu lộ,,đi; đi đường; đi bộ; đi; rời đi; đi khỏi,在地上直立行走,走路对身体有好处。【走路對身體有好處。】,zǒulù duì shēntǐ yǒu hǎochù.,Đi bộ rất tốt cho cơ thể.,,学会走路【學會走路】HỌC HỘI TẨU LỘ; 奔跑BÔN BÀO; 步行BỘ HÀNH; 赶路【趕路】CẢN LỘ; 行路HÀNH LỘ,TẨU 走Số nét: 7,7,一丨一丨一ノ丶,
最,錶示某種屬性超過所有衕類的人或事物,zuì,ㄗㄨㄟˋ,tối,,nhất; nhất; đứng đầu; số một,表示某种属性超过所有同类的人或事物【錶示某種屬性超過所有衕類的人或事物】,我最喜欢学汉语。【我最喜歡學漢語。】,wǒ zuì xǐhuan xué hànyǔ.,Tôi thích học tiếng Trung nhất.,,最近TỐI CẬN; 最后【最後】TỐI HẬU; 最好TỐI HẢO; 最初TỐI SƠ,QUYNH 冂Số nét: 12,12,丨フ一一一丨丨一一一フ丶,
最好,最佳，好到極點,zuì hǎo,ㄗㄨㄟˋㄏㄠˇ,tối hảo,,tốt nhất; cực tốt; hay nhất; giỏi nhất; đỉnh nhất; tốt hơn là; tốt nhất là,最佳，好到极点【最佳，好到極點】,这是我的最好成绩。【這是我的最好成績。】,zhè shì wǒ de zuì hǎo chéngjī.,Đây là thành tích tốt nhất của tôi.,最好 + 的 + Danh từ,你最好了NHĨ TỐI HẢO LIỄU; 最坏【最壞】TỐI HOẠI; 最佳TỐI GIAI; 更好CANH HẢO; 顶级【頂級】ĐỈNH CẤP,QUYNH 冂Số nét: 12,12,丨フ一一一丨丨一一一フ丶,
